gengxin,id,title,zuozhe
02-13,002297,这股年报预报如何,"
老泰米
"
01-08,002297,那个啥子技术不是特牛逼嘛，该你出来溜达溜达了,"
tnynyxcvqw
"
01-07,002297,放量滞涨，尾盘看来真要跌,"
Me￡
"
01-07,002297,忍不住了，7.05元买入，主力别套我,"
中翰音
"
01-07,002297,牛逼又让我当股东了,"
小过年
"
01-05,002297,这票下周看涨 1.很多软件都沒有的主力大单，这在成交量里是看不出来的。,"
逯雅彤
"
12-25,002297,该股是国产大飞机唯一一家指定生产轮胎的高科技企业！,"
无英奕
"
12-20,002297,重仓博云,"
hgxuhuvyua
"
12-14,002297,今天补了2500股刚好给杀,"
战永昌
"
12-14,002297,猪狗还叫呢,"
BarbaraSpenc
"
12-14,002297,旺 人呢,"
马佳哲思
"
12-10,002297,下午跌停,"
匕首与投枪
"
12-10,002297,今天缩量回踩10日线，明天大涨？,"
ScottStrache
"
12-10,002297,：今天这个形式是不是会跌出个6元钱啊，好紧张好激动啊,"
财友ffjenspx
"
12-07,002297,厉害好强，我就奇怪没扛住达7个多点的下杀局面造成这样被动局面，,"
菲比熏肠
"
12-07,002297,此股要回调到6.2左右，静观其变，这股只能耗时间，近期大涨不太可能。,"
心有翅膀
"
12-07,002297,博云新材主力持仓略增，关注股东变化进展,"
圈仔
"
12-07,002297,这mb这种走法，几个意思？撤了。,"
财友芷烟
"
12-06,002297,开拉了，,"
树烨华
"
12-03,002297,最重仓的你，涨势却最弱,"
蓟天晴
"
12-03,002297,再见了，博云,"
彭婉秀
"
12-03,002297,踏空了,"
财友dwjoxqhu
"
12-03,002297,如果主力不压着，早起飞了^,"
承雅柏
"
11-21,002297,6.44买入做个记号，乘C919大飞机起飞~,"
鄂浩歌
"
11-21,002297,今天小云很弱，我买了别的！,"
财友ussoulgi
"
11-21,002297,商飞考察调研博云新材，为C919提供刹车系统,"
穰娴婉
"
11-21,002297,好好，加油！再砸几单,"
财友芷珊
"
11-21,002297,晕，美股跌600点，今天要命了,"
孤傲的女皇
"
11-14,002297,湖南出妖股！,"
果寄蕾
"
11-14,002297,这里的人真的太聪明了，连公告都看不懂，还来炒股，现在的人真的文化那么低吗？股市里真的不缺韭菜。,"
HildaElinor
"
11-12,002297,我一直在等，亏惨了，啥时候能收回我的本?,"
盛依楠
"
11-12,002297,博云新材制造大飞机碳纤维难道不是军民融合吗？,"
听曲客
"
11-08,002297,我对博云新材的未来发展前景有充足的理由看好，为什么股价却会出现如此背道而驰的走势，是我的思路错了吗？,"
无耻谰言
"
11-08,002297,大涨迎接控制权变更……博云新材迈入新的时代,"
容仙媛
"
11-08,002297,有钱难买牛回头。不要卖出在山脚下,"
财友qbbnmixu
"
10-29,002297,今天最低点买入，不知道对错。,"
财友gaifrhrk
"
10-26,002297,今天逢高减仓，注意6.48,"
初翠丝
"
10-25,002297,第三大股东在8块多的时候一股也没有减持 还是9.5% 的持股比例 说明什么呢？,"
公芳菲
"
10-25,002297,坐看表演,"
财友ltowosgs
"
10-24,002297,今天这走法，三季报有期待,"
牛明钰
"
10-18,002297,5.87介入底仓，后面机会大于风险。,"
邱星华
"
10-18,002297,今天回到了2009年上市的最低价了,"
DaveGunther
"
10-16,002297,不看大盘吗,"
梦若云
"
10-16,002297,死了死了的,"
伦弘益
"
10-16,002297,博云股价上50元可能吗？时间验证，但你耗得起吗？,"
板砖手甲
"
10-16,002297,看到了吗?内盘狂甩打压股价,"
裴岚风
"
10-15,002297,今天很硬啊,"
voihcgeaml
"
10-15,002297,空方怎会还有这么多单呢？,"
须冷雪
"
10-11,002297,地天板,"
KimConstance
"
10-10,002297,明天跌停吧,"
VictorGeordi
"
10-10,002297,我7.71进去的，要套到何时?,"
BasilNorth
"
10-09,002297,三季报长460%,"
隔屋撺椽
"
10-09,002297,几分钟就干到板,"
财友mhjgzzhh
"
10-09,002297,必过7.70,"
以后还很长
"
10-08,002297,胆小取不得将军座!不爱玩的交出来滚一边去，别再回来逼逼,"
财友jxxmeeuh
"
10-08,002297,7以下准备干,"
伦永逸
"
10-07,002297,明天准备上车，实际控制人变更差不多了吧？,"
炫石为玉
"
09-27,002297,回去补6块那个缺口？？？那至少还有20个点的跌幅。你们完蛋了……,"
财友utshqteb
"
09-27,002297,好股，总算等你跌下来了！明天反包涨停希望很大………今天洗出去很多小散！明天高开高走………,"
CherryPetty
"
09-27,002297,8.0追被套，让我情何以堪，难道今天要跌停?,"
炼石补天
"
09-26,002297,今天早上已经提醒各位博友了，主力今天会结束震仓，为下一步快速拉升做准备，预计涨6个点，虽然只上涨1个点，但方向是对的，明天估计开启暴涨模式，不知道博友们是否参考了我的建议！,"
绍鸿畴
"
09-26,002297,盘中走势分析：短线好股，可以逢低介入,"
しovの俊熙
"
09-26,002297,主力再牛也要顺势而为，否则就会弄巧成拙，搬起石头砸自己的脚，今天涨六个点以上,"
悉秀媛
"
09-25,002297,明天有惊喜？,"
身首分离
"
09-25,002297,没量小心,"
pdejghfnds
"
09-25,002297,智慧松德成功封板！,"
你懂我吗”
"
09-25,002297,快跑，集合竞价卖出中午跌八个点再接回,"
睡前小笑话
"
09-23,002297,7.7已满仓待涨,"
财友xhrwqcvf
"
09-22,002297,请问他们走了吗？,"
度雅珺
"
09-21,002297,提前恭喜尾盘拿到筹码的兄弟们，中秋快乐！,"
蝇拂子
"
09-21,002297,妈蛋的，还不拉升？！,"
财友vddnjhag
"
09-21,002297,主力，已挂单 7.29 ，会不会到？！,"
财友nkggecpf
"
09-21,002297,奔跌停了,"
銮驾队子
"
09-20,002297,博云新材是不是要卖出啊，谁能说下,"
郁兴旺
"
09-20,002297,看今天机构砸盘的贪婪样子，莫非真的是商飞借壳。,"
柳仪曹
"
09-20,002297,今天两只牛股东方新星002755，上海雅仕603329,"
prey
"
09-19,002297,不要了,"
宰父清涵
"
07-23,002023,哥哥姐姐们，猜猜收盘价吧。,"
财友rsuqexsy
"
07-23,002023,周一开盘一字板！上个星期五随我们一起买入的要发达了!,"
陆小夏
"
07-23,002023,如果高开，如果高开，如果。。你就知道自己该干啥啦,"
MauriceArabe
"
07-22,002023,13.31跟湘分梦股进的海特高新，还有一起的吗？你们什么点位进的啊？,"
财友stgjimuy
"
07-22,002023,注意大盘短线震荡回调,"
解忧草
"
07-22,002023,#海特高新# 是国内砷化镓和氮化镓芯的引领者，最重要是该芯片应用在国防军工各领域！,"
类岚风
"
07-21,002023,短片海威华芯 2017,"
壤驷霞姝
"
07-21,002023,不要轻信网络言论，一定要有自己的独立思考,"
股市易蓉
"
07-21,002023,氮化镓和砷化镓国产化了吗？,"
度语海
"
07-17,002023,中报一出来就该大跌了，不信等着瞧吧。,"
乐正碧灵
"
07-17,002023,其实三件事已经决定了海特高新要大跌,"
财友jpbuohlm
"
07-17,002023,看看亏损的中国软件都比你这个不亏损的强,"
丁梦菡
"
07-12,002023,明天涨停来：002023海特高新中报增几倍！,"
财友ahontdjr
"
07-12,002023,大空头张刚7月12日9点在中央二套唱多你还怕吗,"
濮阳芮波
"
07-12,002023,大空头张刚正在中央二套唱多你还怕吗,"
娄慧心
"
07-11,002023,没想到这个真是好股 割了肉 换了一个烂股 唉 不该挣钱啊，今年,"
小白落落
"
07-09,002023,董明珠执着造芯朱江洪不看好 李东生称500亿元远不够07-09 08:15 来源：证券日报,"
财友wmujvhtd
"
07-09,002023,海特今天别涨我的钱下午5点到账明天让我补点仓吧我亏的太多啦,"
光采夺目
"
07-08,002023,7月8日再次发帖！海特主力快要爆发式拉升阶段了，最近这段时间可能会大涨大跌反复震荡，做好高抛低吸，不要下车，6月21日发帖后，你入场了吗？,"
jlbcyrsltw
"
07-08,002023,贸易争端龙头神股州信息海特高新有业绩支撑前景及高科技核心技术天时地利人和已经具备大牛行情,"
实梦秋
"
07-07,002023,海特高新：中海达成为《导航与服务联盟理事长》。,"
ElizabethDou
"
07-07,002023,芯片：最确定的发展产业 目前，芯片国产化的重要性日益凸显，未来会提振其加大自主研,"
寝不安席
"
07-06,002023,真芯片，还是假芯片，三个月内见分晓。,"
财友pgcwvhqv
"
07-05,002023,2：30分跳水，跌3%以上！,"
罕芳林
"
07-05,002023,今日涨停，有贴为证。,"
地下水库
"
07-03,002023,上涨空间已打开,"
恭采枫
"
07-03,002023,哭～上午被洗出去了,"
盛山蝶
"
07-03,002023,海特高新我来了，12.65元搞了15100股，搞起。,"
财友jtppmqsi
"
07-03,002023,海特有长牛的气质，后续会发表个人盘面观点。不喜勿喷,"
财友诗珊
"
07-02,002023,海特有个重大利好，只是未公布，高层已经着手布置了,"
南街戏子
"
07-02,002023,明天12.3开盘一定要跑，最后一天,"
财友qxvxywgt
"
